Name,Enthalpy,vDW,HBD,HBA,Lost Water entropy,Side chain conformational entropy
ZINC05256676,-39.5598,-8.39098,-13.5047,-17.6641,54.0,-13.34
ZINC29298484,-36.5709,-11.2855,-7.20671,-18.0786,66.0,-16.26
ZINC05104248,-35.6752,-14.6382,-3.77632,-17.2606,39.0,-15.860000000000001
ZINC10491483,-34.4981,-18.6071,-5.65199,-10.239,45.0,-11.81
ZINC05104248,-34.4217,-12.2072,-3.69416,-18.5203,42.0,-9.78
ZINC05104248,-33.8697,-11.4406,-4.44435,-17.9848,45.0,-9.78
ZINC00695485,-33.2197,-9.79644,-10.6774,-12.7459,54.0,-12.98
ZINC05104248,-33.0962,-8.48644,-3.84338,-20.7664,39.0,-14.89
ZINC08768593,-31.911,-15.7882,-11.7956,-4.32721,63.0,-15.040000000000001
ZINC10491483,-31.7761,-13.7585,-6.32954,-11.6881,33.0,-12.89
ZINC18400292,-31.4877,-15.5064,-6.55604,-9.42527,51.0,-11.72
ZINC05256676,-31.3519,-14.5844,-8.79528,-7.9722,51.0,-14.02
ZINC30504334,-30.4746,-14.8287,-3.03416,-12.6118,39.0,-9.63
ZINC16130831,-30.4163,-19.4662,-2.08775,-8.86234,48.0,-11.370000000000001
ZINC06102500,-30.2385,-11.925,-8.25646,-10.057,48.0,-13.16
ZINC09398885,-30.2359,-15.6127,-2.78496,-11.8382,45.0,-14.83
ZINC23473809,-30.2014,-13.5526,-9.57117,-7.07764,60.0,-14.08
ZINC28368352,-30.0177,-17.7593,-6.39814,-5.86024,36.0,-12.030000000000001
BDB13923,-30.0094,-15.4144,-7.3635,-7.23148,54.0,-13.18
ZINC05256676,-29.8733,-10.6669,-9.45949,-9.74692,39.0,-13.790000000000001
ZINC06430824,-29.7558,-16.9132,-4.62023,-8.22239,36.0,-14.200000000000001
ZINC31585826,-29.7235,-15.298,-6.86316,-7.56231,45.0,-15.08
ZINC08768593,-29.6605,-16.2145,-7.24565,-6.20043,51.0,-11.83
ZINC16130831,-29.5818,-18.7736,-1.56674,-9.24148,33.0,-10.26
ZINC10491483,-29.4621,-18.5037,-5.29961,-5.65883,48.0,-11.81
